6,16,3,1,10,18,11,9,2,13,19,0,8,14,12,4,15,17,7,5
17,15,19,18,2,9,7,11,0,5,3,13,1,10,8,4,12,16,14,6
4,16,10,3,18,13,6,5,11,1,17,12,14,19,0,8,15,9,7,2
12,11,5,13,19,8,4,10,14,15,16,1,7,18,3,6,17,2,0,9
4,8,6,12,10,9,18,2,0,7,5,14,11,1,16,17,19,15,13,3
16,15,11,5,18,1,2,17,13,10,12,4,19,7,6,14,9,8,3,0
18,9,7,4,0,10,11,5,17,16,1,19,6,15,12,13,2,3,14,8
5,1,7,19,17,2,3,8,6,15,14,18,0,12,11,4,10,16,13,9
9,0,10,13,19,8,3,16,7,12,1,5,17,18,11,4,14,15,2,6
9,18,5,4,14,16,15,19,13,3,17,8,11,0,10,7,2,1,12,6
15,13,12,8,11,17,7,6,16,19,4,3,2,0,14,9,10,18,5,1
5,6,18,16,12,19,13,3,2,7,4,8,15,9,10,0,11,14,1,17
6,19,4,14,1,18,2,7,15,3,10,0,8,11,16,13,9,17,12,5
14,18,8,15,10,7,16,6,12,1,19,9,11,5,17,0,13,3,2,4
7,1,16,14,10,8,0,15,13,12,6,5,18,19,4,11,3,2,17,9
13,17,7,1,10,11,5,2,6,18,4,8,3,16,9,14,12,0,19,15
8,14,17,9,19,1,5,18,16,0,2,12,15,10,3,13,7,11,6,4
18,3,6,16,11,10,13,7,14,15,1,5,4,9,17,2,0,12,19,8
11,9,5,0,10,13,12,19,17,2,18,6,3,16,1,14,8,7,15,4
14,19,17,3,0,15,18,8,10,7,16,4,9,6,11,12,5,13,1,2
11,17,10,18,1,13,19,15,8,14,0,4,7,3,16,9,6,5,12,2
9,5,4,13,3,10,6,12,8,19,1,2,17,0,16,7,11,18,15,14
15,3,7,12,11,10,17,1,13,2,19,16,6,14,8,5,0,18,4,9
19,15,2,4,16,12,11,3,1,6,10,5,7,9,8,18,13,0,14,17
17,12,15,14,2,18,5,0,6,16,7,3,9,4,8,13,1,19,11,10
3,16,4,19,13,0,11,10,6,7,18,8,9,5,2,12,1,15,17,14
8,10,14,6,2,16,11,19,7,4,0,18,17,1,12,3,15,5,13,9
18,17,7,11,8,13,5,1,3,2,4,6,19,9,10,14,16,15,12,0
5,19,2,17,8,18,14,3,1,10,7,11,12,15,4,13,16,6,0,9
1,3,10,19,14,18,0,12,2,9,5,6,17,7,15,13,8,16,11,4
14,6,2,7,0,13,18,15,1,3,12,5,4,11,17,19,8,9,16,10
19,11,8,17,18,2,16,13,0,14,12,7,15,3,10,5,6,9,4,1
3,0,8,18,9,15,5,16,14,2,7,19,6,11,13,10,12,4,1,17
9,8,5,19,13,4,11,15,6,1,7,12,17,14,16,2,18,0,3,10
11,14,10,12,19,0,15,16,9,2,6,13,8,5,7,4,3,18,17,1
11,15,17,18,10,3,5,4,0,16,13,1,19,7,9,2,12,6,8,14
18,6,12,5,1,8,4,3,10,13,14,0,2,17,19,9,7,16,15,11
18,12,0,7,15,1,14,16,4,11,5,2,17,3,19,6,13,10,8,9
0,9,4,12,17,8,6,14,18,7,19,15,1,10,16,2,13,3,5,11
13,16,2,5,19,4,8,18,7,6,12,14,10,1,0,3,9,15,11,17
9,4,15,0,19,5,6,8,13,16,7,3,14,18,1,10,2,12,11,17
0,7,9,17,8,18,13,16,11,6,4,19,5,15,3,2,1,14,12,10
0,3,15,5,1,9,17,7,14,4,2,6,11,13,10,19,8,18,12,16
12,15,0,5,17,14,10,16,19,18,2,3,9,8,11,1,4,13,7,6
11,16,5,4,3,13,12,1,17,7,0,6,14,15,2,18,9,8,19,10
10,1,15,4,18,13,5,7,19,3,8,16,11,2,9,6,12,17,0,14
16,3,7,17,18,19,8,6,11,12,5,1,10,14,9,2,13,0,15,4
3,4,5,19,6,16,1,8,17,0,12,15,11,14,10,2,7,18,13,9
12,10,19,11,17,4,6,5,3,16,0,18,1,7,14,8,13,2,15,9
2,4,10,16,17,3,1,11,19,18,15,5,12,13,7,14,9,0,6,8
11,19,3,4,13,10,1,0,14,18,12,9,15,7,8,2,17,5,16,6
4,14,5,9,6,16,19,7,12,18,10,17,3,13,11,15,0,1,8,2
5,8,10,4,11,15,3,13,0,6,2,19,7,16,18,17,14,1,12,9
2,12,17,14,9,13,4,19,0,1,5,7,3,8,10,6,18,15,11,16
12,19,4,2,18,3,5,15,1,13,6,16,10,14,0,7,9,11,17,8
17,6,2,5,11,16,0,13,8,14,9,18,19,10,12,1,7,3,4,15
3,13,11,0,2,19,7,16,10,15,12,5,18,14,8,1,4,6,9,17
8,1,10,16,6,9,18,19,4,14,3,11,7,2,17,0,12,13,15,5
19,5,16,4,1,7,11,3,6,0,10,14,9,18,17,2,12,15,13,8
2,9,0,4,18,14,12,3,7,11,5,1,13,16,6,17,15,8,19,10
4,5,14,16,12,10,0,17,18,2,15,11,7,13,19,6,3,8,1,9
6,4,14,5,17,1,18,2,12,15,13,0,19,8,3,16,9,11,10,7
9,7,13,2,12,5,8,3,18,4,10,15,11,14,0,19,16,1,17,6
18,11,9,19,14,0,13,4,5,7,3,16,15,1,6,10,12,2,17,8
15,1,19,10,2,11,9,14,5,0,4,8,7,18,6,13,17,12,3,16
8,6,3,4,1,16,7,18,5,10,11,13,19,14,9,0,12,2,15,17
1,11,5,17,19,9,3,2,16,8,7,0,14,13,15,6,10,18,4,12
4,5,15,13,9,6,18,3,19,1,10,7,2,16,11,17,8,0,14,12
6,18,8,4,13,0,2,11,12,17,16,10,1,9,15,19,14,7,5,3
1,12,0,2,15,8,4,6,11,16,17,9,10,18,7,13,5,19,14,3
3,1,6,0,10,4,18,7,8,15,5,9,17,14,12,19,16,13,11,2
14,2,18,10,19,15,9,1,11,17,0,5,7,12,16,3,13,4,6,8
13,4,18,14,11,19,12,3,2,17,7,15,9,16,6,8,5,0,1,10
1,16,11,14,12,0,7,10,8,6,19,15,4,3,13,5,18,9,2,17
17,11,12,19,4,16,6,7,9,5,14,15,0,18,3,8,1,2,10,13
1,10,19,9,3,18,5,8,17,15,6,2,14,11,16,4,7,0,12,13
14,11,3,10,1,8,6,19,4,2,12,0,13,17,15,9,18,7,16,5
9,12,3,13,10,7,0,14,11,1,2,4,17,19,6,16,5,18,8,15
3,19,8,2,12,15,5,0,18,16,17,11,9,14,7,6,1,13,4,10
10,2,13,11,4,7,18,1,15,9,14,0,5,16,8,19,17,3,12,6
18,0,1,3,16,9,5,7,15,17,4,2,12,11,8,10,13,6,19,14
7,1,3,10,8,18,9,2,4,11,6,14,17,13,16,19,0,5,12,15
6,13,3,11,16,0,19,18,1,15,17,2,4,8,10,5,12,14,9,7
9,0,4,10,8,12,13,17,1,15,3,5,11,19,16,14,2,7,6,18
15,19,9,14,3,4,10,6,2,1,7,5,8,13,17,16,11,0,12,18
19,2,5,12,0,11,13,18,8,9,7,6,16,14,17,10,1,15,4,3
12,6,1,10,17,14,15,16,3,8,5,13,11,18,19,9,4,0,2,7
1,2,6,15,18,8,11,3,19,13,9,17,7,4,14,12,16,10,0,5
8,14,15,16,6,19,2,4,5,10,18,9,7,12,1,3,13,17,0,11
1,11,0,18,12,19,2,8,10,16,5,9,4,6,17,7,3,14,13,15
1,3,12,5,4,6,13,18,15,19,14,7,8,0,9,10,11,2,16,17
7,16,19,6,4,0,10,15,9,8,1,5,17,11,14,18,2,3,13,12
10,11,3,16,5,7,14,1,13,15,2,9,8,0,18,19,6,12,4,17
12,19,2,11,14,17,5,1,7,13,0,15,6,8,18,10,4,9,3,16
