39,86,62,13,43,51,97,34,54,45,53,94,56,22,57,90,77,79,71,88,61,3,50,25,75,33,36,87,67,9,47,72,29,48,78,24,19,31,12,49,92,55,96,6,0,27,4,20,83,66,65,76,93,74,41,60,63,40,84,30,59,69,8,99,16,10,80,91,38,26,28,98,14,23,37,15,5,21,73,17,42,70,35,58,11,2,81,52,89,95,32,46,1,7,64,85,82,68,18,44
66,68,19,75,27,4,73,42,3,2,8,18,63,54,29,77,55,16,81,24,69,31,47,33,14,1,32,30,10,71,91,97,34,45,67,13,92,60,51,96,98,12,41,36,70,62,82,22,17,26,38,52,72,49,15,83,64,23,90,59,39,79,21,20,89,0,80,46,40,44,9,61,99,74,57,7,6,43,95,94,53,93,88,48,28,50,25,78,5,85,35,58,11,87,84,65,86,76,56,37
53,82,30,26,7,95,49,73,61,24,9,36,44,80,25,54,35,99,4,71,83,86,56,17,33,47,76,34,66,74,55,23,32,0,88,1,38,42,70,12,91,97,77,31,10,63,14,78,8,98,57,21,79,46,11,50,6,89,37,94,92,22,43,59,16,68,13,90,62,81,52,58,19,64,48,45,3,29,72,5,28,18,41,96,67,27,65,60,87,69,85,51,20,15,39,2,40,75,93,84
98,96,53,94,78,91,0,61,20,59,33,93,70,14,24,68,60,55,26,2,3,43,36,88,27,77,83,38,90,92,11,39,74,64,25,75,48,32,8,80,35,52,30,57,41,17,67,42,44,23,19,28,58,29,10,95,69,97,4,84,99,51,73,18,65,66,54,37,50,82,76,34,5,86,62,9,22,63,47,45,13,46,16,85,21,56,71,40,1,12,49,87,79,6,89,81,31,15,72,7
93,47,50,38,63,97,35,23,18,69,41,5,3,10,12,13,26,21,68,14,22,36,43,85,7,16,82,83,86,81,40,24,65,0,48,70,58,88,76,60,57,49,20,84,74,52,25,28,6,30,42,64,61,33,27,91,8,59,56,95,77,37,4,66,53,67,73,80,32,78,98,99,51,29,39,72,96,71,46,75,17,31,9,92,15,11,62,79,44,89,34,55,94,90,54,45,19,87,2,1
62,52,92,47,34,1,54,32,81,36,50,71,18,4,12,97,16,60,24,20,99,17,56,87,45,82,85,66,79,0,31,33,41,65,63,83,11,44,27,78,38,90,6,15,80,22,67,89,74,37,57,77,64,25,76,29,28,5,61,42,55,51,10,30,53,48,98,23,84,75,49,46,94,19,35,58,96,26,43,91,8,88,69,70,14,7,68,40,93,13,59,2,3,21,73,72,9,39,95,86
91,67,78,33,9,6,84,61,79,63,55,87,94,56,42,57,97,43,17,2,92,66,23,60,20,90,32,29,35,69,54,58,28,19,3,25,0,64,50,83,37,65,53,89,14,8,45,11,93,52,13,22,18,96,15,7,31,99,75,24,44,30,71,12,80,47,85,77,70,49,95,34,76,5,73,1,88,40,21,68,36,38,51,48,72,39,4,82,16,27,26,98,62,41,46,10,81,74,86,59
33,90,56,38,76,81,47,72,32,58,36,44,7,0,15,2,93,14,28,39,16,70,20,67,22,6,1,71,68,57,11,92,80,84,23,88,46,21,62,69,59,31,61,89,51,9,49,8,24,13,48,83,91,40,42,29,34,27,98,45,95,74,3,53,77,86,35,4,73,79,75,55,64,97,60,85,43,19,63,96,87,10,52,37,66,12,94,41,82,26,78,5,18,30,54,65,25,99,17,50
4,58,32,17,55,41,90,83,49,53,7,56,44,76,98,99,70,64,47,68,27,18,63,59,20,3,50,29,51,46,43,12,14,80,85,94,31,40,15,5,89,81,10,79,9,67,75,19,2,88,11,42,74,86,69,35,30,61,24,77,23,22,34,0,38,28,13,97,73,96,26,39,72,45,36,8,6,66,93,48,16,91,37,84,95,71,33,82,25,92,60,62,57,54,65,52,78,87,1,21
16,14,68,15,31,7,56,74,69,20,66,88,29,87,70,94,27,12,53,46,51,91,9,36,48,86,58,1,71,85,75,39,78,0,96,55,50,43,8,99,5,81,62,98,34,47,89,37,61,24,77,49,80,3,18,22,32,25,38,95,65,79,10,44,4,19,6,84,26,90,41,83,23,59,64,72,2,97,92,28,54,40,63,13,35,21,82,42,60,52,11,73,67,33,93,30,45,57,17,76
67,66,46,28,23,39,34,17,25,5,59,4,52,32,6,61,13,0,37,16,9,18,8,7,92,26,69,21,24,36,74,60,86,27,22,41,19,83,54,11,44,38,33,15,95,82,10,93,2,64,97,88,47,12,90,96,43,76,63,80,30,14,50,78,31,94,1,49,57,84,71,62,48,81,53,72,20,85,73,75,58,35,87,91,40,45,29,51,77,98,56,55,65,42,79,68,3,70,89,99
53,55,26,19,93,99,77,52,79,64,1,62,45,32,86,59,10,48,6,40,81,4,70,90,68,95,38,8,50,15,69,41,18,20,84,33,78,80,34,60,37,24,85,13,57,28,87,63,61,94,67,97,7,3,83,58,5,0,56,17,73,21,36,82,65,27,42,43,35,31,89,76,22,29,2,71,51,25,88,30,92,98,12,46,14,39,54,23,96,44,9,75,16,91,47,49,66,11,72,74
53,34,1,61,73,40,91,62,84,11,58,69,77,87,56,42,14,65,93,86,16,66,36,90,74,72,80,33,26,8,45,78,96,39,83,85,76,55,97,57,79,24,94,48,64,10,59,7,21,49,70,15,9,46,38,3,99,88,6,0,37,92,12,50,98,17,13,54,28,29,27,31,51,22,60,68,43,18,35,2,19,25,32,52,95,89,67,63,30,47,75,41,4,81,5,23,20,82,71,44
57,14,91,24,0,66,84,54,21,2,99,41,72,64,85,17,33,88,78,19,11,28,45,13,83,93,39,63,5,7,22,15,35,16,71,90,36,97,95,79,94,23,31,50,69,18,27,74,38,44,82,59,8,48,20,47,65,30,89,67,55,77,34,37,56,29,25,76,75,68,42,46,81,61,51,80,49,92,52,53,58,4,1,98,86,43,3,12,6,70,96,40,62,32,60,26,73,10,9,87
62,69,58,41,14,65,60,87,78,70,66,2,35,26,3,25,64,49,11,99,12,83,79,86,90,98,40,42,44,67,97,38,36,27,55,63,37,46,20,85,7,1,53,88,72,6,22,28,54,93,23,18,59,68,73,29,95,15,96,77,33,51,61,71,10,45,89,76,84,9,13,92,34,4,81,30,32,0,52,43,80,56,91,19,82,47,8,16,21,57,48,74,17,5,75,94,24,31,39,50
85,11,15,70,7,93,65,40,97,71,73,38,76,72,64,99,75,31,17,79,28,34,66,84,9,29,6,30,36,21,57,3,22,95,39,18,46,24,74,0,43,53,77,1,60,27,63,32,16,69,50,92,23,78,96,48,87,5,67,41,94,90,4,52,80,49,98,12,44,59,37,62,88,86,68,42,58,19,14,55,13,83,56,89,82,81,54,51,8,91,61,10,26,45,35,20,2,25,33,47
52,4,23,58,82,53,88,86,37,84,64,59,12,1,63,87,14,61,22,66,24,27,83,18,96,93,43,91,10,17,16,72,9,81,6,30,21,40,0,5,97,69,54,51,19,76,55,2,11,60,48,25,47,99,71,50,42,36,46,41,90,35,34,78,65,56,68,20,57,29,13,74,85,15,73,92,75,26,8,89,70,7,67,98,45,44,39,80,31,38,79,49,32,62,28,94,95,33,77,3
23,97,75,42,11,6,80,43,87,55,86,60,79,13,62,70,47,29,32,14,71,93,35,4,96,69,12,24,5,21,83,41,99,48,81,1,98,74,59,89,85,84,2,61,37,94,3,95,67,64,31,30,78,26,51,33,40,56,65,27,82,36,22,91,45,28,8,34,50,66,0,76,77,38,53,52,88,15,72,46,92,9,7,54,18,17,10,44,39,19,20,58,73,57,90,49,68,25,63,16
