83,48,57,31,98,88,46,85,90,92
83,77,34,90,57,39,28,93,25,95
11,20,82,92,86,42,3,58,47,15
88,21,93,68,94,4,43,51,85,52
93,65,48,22,0,47,84,86,90,28
30,98,23,50,24,94,56,92,35,65
15,51,17,49,46,10,44,75,60,28
97,92,99,50,32,74,51,76,17,23
93,2,20,68,3,16,70,43,27,45
93,95,5,44,77,41,96,21,43,38
81,41,65,53,3,28,78,56,70,69
71,33,77,44,56,65,49,50,40,3
27,36,95,38,1,87,99,54,30,85
94,80,70,41,83,17,88,42,87,38
36,85,27,60,1,87,42,21,46,94
10,50,29,98,81,93,15,49,97,83
92,40,30,13,46,61,98,83,1,70
68,14,54,50,19,33,31,13,7,83
63,56,32,50,57,35,95,41,91,14
39,3,43,68,42,6,71,25,78,22
19,74,39,98,23,48,43,85,8,66
87,96,17,30,80,15,12,43,75,4
18,61,53,98,13,48,77,41,60,42
17,27,51,52,1,2,23,85,60,46
79,97,24,34,85,27,11,4,47,1
60,32,30,19,25,76,54,52,51,49
34,77,26,88,54,50,87,60,22,0
54,18,88,24,2,79,77,85,55,36
67,31,87,20,41,2,60,28,53,40
14,70,51,13,57,32,59,88,3,28
9,43,22,11,27,32,75,20,65,83
56,10,96,89,9,32,73,84,25,27
17,60,1,37,74,43,81,7,15,87
7,16,97,78,93,91,95,12,65,29
55,47,37,78,35,54,20,30,57,93
9,41,11,50,66,69,18,20,60,75
23,9,56,18,37,12,8,83,3,70
11,65,26,13,22,0,71,62,24,84
56,88,78,64,7,94,60,81,87,45
97,60,61,98,20,62,86,88,3,91
21,76,28,93,55,62,95,50,79,46
71,21,1,16,98,72,35,41,32,57
15,77,84,79,95,87,91,20,47,12
90,87,39,81,62,37,97,26,1,76
44,89,50,54,72,5,27,23,8,29
94,41,39,4,90,89,35,75,61,83
35,83,50,17,34,65,18,3,2,51
78,77,46,1,63,12,69,91,56,86
91,44,83,18,52,3,88,5,28,80
53,47,77,45,31,48,79,92,58,11
50,89,5,14,0,99,54,86,30,12
34,22,66,21,52,83,13,84,24,75
3,26,44,28,4,86,34,0,6,76
84,76,63,4,16,62,34,12,5,79
32,11,18,7,15,12,97,41,31,44
49,60,12,47,98,21,3,54,5,89
63,19,71,36,9,12,1,67,3,70
11,54,9,58,89,31,1,92,14,66
18,83,92,57,84,72,62,10,31,48
49,40,7,95,0,37,61,21,23,42
92,12,41,34,45,80,66,47,91,27
36,43,14,7,33,96,82,27,34,85
93,27,35,90,56,88,8,54,41,99
23,16,10,57,20,53,50,47,36,40
97,89,1,79,13,26,54,50,46,75
27,2,37,3,79,17,97,92,56,91
53,69,37,26,52,58,55,77,86,40
76,13,64,15,56,48,67,36,87,7
3,54,26,36,6,92,30,94,2,38
58,74,12,1,52,32,51,60,8,75
95,56,88,72,28,32,83,11,65,20
74,8,5,65,79,50,44,6,7,87
75,0,19,72,47,73,52,26,76,37
51,31,83,64,58,53,88,27,5,73
33,53,81,93,62,36,56,14,79,32
58,60,7,3,41,25,74,56,77,73
35,10,68,96,79,7,34,90,1,77
59,31,7,45,14,67,93,17,25,58
35,93,30,48,95,38,25,23,10,57
27,76,46,31,73,81,23,54,53,82
58,81,18,72,44,77,61,60,39,64
24,11,49,45,73,71,47,68,7,10
82,30,11,7,43,34,26,37,27,42
71,68,26,16,51,8,57,28,36,40
96,23,40,4,3,55,75,47,11,10
19,33,26,53,42,17,69,21,43,37
83,58,7,63,15,61,16,53,73,50
64,27,1,53,93,92,42,77,85,66
7,46,72,52,86,97,16,89,45,51
47,39,7,88,61,36,3,84,21,6
47,32,56,75,6,59,30,58,20,68
98,85,58,55,9,0,21,46,3,44
97,62,41,48,96,94,43,78,26,47
37,34,42,21,24,26,75,86,55,52
6,57,17,87,67,54,36,41,37,97
51,20,9,22,77,73,12,87,24,36
90,77,23,94,74,41,50,95,13,45
66,30,26,69,3,49,27,95,24,15
70,43,56,79,55,14,42,72,83,64
38,1,48,15,28,24,18,42,73,3
