15,52,11,97,66,98,40,28,95,25
1,79,80,41,70,32,82,54,17,57
49,99,58,54,69,29,18,91,33,60
91,85,38,51,44,76,88,43,30,16
49,74,30,97,12,23,39,90,83,17
53,14,48,9,65,11,18,42,94,83
49,97,98,51,78,42,88,29,46,14
49,33,96,80,72,15,12,90,91,74
42,8,95,10,36,6,89,37,69,81
12,61,54,33,35,83,0,34,99,19
97,29,83,26,59,58,17,85,93,50
78,61,69,15,64,54,65,0,14,82
96,3,82,54,38,8,15,9,67,12
18,48,89,52,32,38,12,66,55,60
72,0,50,20,16,53,11,64,52,48
39,4,49,87,61,83,46,31,3,80
85,14,59,25,33,90,20,83,24,54
8,94,1,82,51,73,25,59,81,84
27,82,12,59,84,37,76,4,46,95
15,20,81,16,39,12,88,33,38,76
84,29,65,40,11,55,19,22,83,39
51,72,60,95,0,10,22,23,36,24
45,13,86,85,22,56,55,93,99,83
78,31,90,3,83,24,92,80,37,7
64,54,59,8,10,4,63,51,70,6
37,98,68,83,56,22,0,44,67,99
65,47,51,89,69,90,54,31,4,11
86,45,79,61,39,62,26,37,22,55
58,97,80,50,95,38,82,8,0,72
54,24,50,4,86,40,89,7,36,32
85,35,49,52,8,83,59,77,21,44
43,98,54,71,7,2,0,87,42,58
37,45,8,39,20,4,99,98,58,67
64,51,14,57,81,15,1,26,17,78
65,17,66,42,54,16,46,63,28,62
56,8,22,23,53,13,96,29,36,60
64,27,58,42,76,3,19,10,8,68
45,33,87,48,55,61,34,92,57,77
17,46,74,91,65,63,39,21,52,30
97,88,44,66,67,96,59,64,49,11
70,34,22,87,39,68,5,45,26,77
54,94,59,46,78,21,13,67,14,93
53,37,78,16,70,58,36,82,89,27
90,54,17,25,42,20,47,98,73,15
29,82,47,78,34,56,93,66,86,68
64,14,63,49,39,36,17,77,28,56
33,69,19,35,68,81,8,70,21,84
95,50,64,48,8,31,39,84,71,93
58,32,81,55,43,17,27,22,75,23
45,4,3,61,23,6,32,83,7,36
15,87,54,68,96,14,89,48,2,73
84,55,65,30,73,31,28,88,78,61
42,18,39,0,84,30,89,74,43,73
7,33,76,95,21,70,58,8,83,55
29,87,43,86,56,35,10,89,50,76
17,66,56,37,84,55,97,79,44,24
74,2,42,68,96,52,7,21,59,29
23,60,56,73,2,70,37,77,7,28
38,70,19,40,58,55,89,74,96,87
72,23,49,9,89,5,35,19,37,16
62,73,74,2,42,50,70,26,15,0
2,8,55,54,34,98,94,65,14,28
56,86,74,92,45,28,25,40,30,50
45,98,40,52,94,89,70,60,28,90
72,26,16,19,54,93,7,8,33,51
96,13,84,29,61,38,34,52,74,12
96,41,31,7,46,50,6,3,92,33
4,14,11,65,40,71,82,67,32,7
1,33,59,83,51,20,24,73,72,25
90,38,49,79,45,51,46,75,22,3
76,65,60,61,57,98,18,97,86,59
0,12,73,24,26,77,98,13,49,86
10,61,3,82,12,58,85,69,57,76
1,3,77,69,52,0,46,28,6,78
91,87,31,41,98,15,67,68,64,22
44,26,53,12,17,45,35,95,13,47
53,16,83,98,96,67,27,26,46,93
10,75,42,84,72,66,95,91,86,11
73,92,43,29,61,77,76,95,87,25
73,51,79,40,92,3,86,52,85,77
86,25,99,31,87,81,62,84,40,15
71,84,27,20,76,49,48,97,57,7
22,63,12,5,75,36,3,57,15,80
60,77,20,84,15,53,22,98,42,34
19,86,13,88,4,55,68,93,62,49
41,4,85,34,63,79,30,84,90,16
15,36,20,6,46,76,25,30,19,74
22,47,92,52,72,16,85,68,73,97
10,98,48,61,13,34,20,68,9,85
57,75,49,70,15,20,64,35,33,89
21,10,44,86,56,65,81,48,40,38
16,61,85,7,84,14,75,79,49,46
5,28,84,61,55,44,57,1,63,2
36,72,3,1,55,14,29,5,99,67
90,21,51,42,12,43,49,88,54,44
42,63,99,27,57,97,60,53,69,79
80,33,98,82,70,84,40,44,49,65
32,5,30,70,57,13,84,83,45,74
81,91,68,21,67,25,51,39,77,40
34,11,99,69,24,16,27,55,12,54
